rank,title,ratings,rating_num,meta
1,小王子,9.0,204545,[法] 圣埃克苏佩里 / 马振聘 / 人民文学出版社 / 2003-8 / 22.00元
2,追风筝的人,8.8,229644,[美] 卡勒德·胡赛尼 / 李继宏 / 上海人民出版社 / 2006-5 / 29.00元
3,围城,8.9,174298,钱锺书 / 人民文学出版社 / 1991-2 / 19.00
4,活着,9.1,116412,余华 / 南海出版公司 / 1998-5 / 12.00元
5,白夜行,9.1,163392,[日] 东野圭吾 / 刘姿君 / 南海出版公司 / 2008-9 / 29.80元
6,挪威的森林,8.0,174656,[日] 村上春树 / 林少华 / 上海译文出版社 / 2001-2 / 18.80元
7,解忧杂货店,8.6,136307,(日)东野圭吾 / 李盈春 / 南海出版公司 / 2014-5 / 39.50元
8,不能承受的生命之轻,8.4,127541,[捷克] 米兰·昆德拉 / 许钧 / 上海译文出版社 / 2003-7 / 23.00元
9,红楼梦,9.5,108712,[清] 曹雪芹 著 / 人民文学出版社 / 1996-12 / 59.70元
10,梦里花落知多少,7.2,141206,郭敬明 / 春风文艺出版社 / 2003-11 / 20.00元
11,三体,8.8,116501,刘慈欣 / 重庆出版社 / 2008-1 / 23.00
12,达·芬奇密码,8.2,121427,[美] 丹·布朗 / 朱振武 / 上海人民出版社 / 2004-2 / 28.00元
13,嫌疑人X的献身,8.9,110583,[日] 东野圭吾 / 刘子倩 / 南海出版公司 / 2008-9 / 28.00
14,1988：我想和这个世界谈谈,7.9,115036,韩寒 / 国际文化出版公司 / 2010-9 / 25.00元
15,何以笙箫默,8.0,112105,顾漫 / 朝华出版社 / 2007-4 / 15.00元
16,看见,8.8,103401,柴静 / 广西师范大学出版社 / 2013-1-1 / 39.80元
17,简爱,8.5,99215,[英] 夏洛蒂·勃朗特 / 世界图书出版公司 / 2003-11 / 18.00元
18,平凡的世界（全三部）,9.0,90560,路遥 / 人民文学出版社 / 2005-1 / 64.00元
19,哈利·波特与魔法石,9.0,80078,[英] J. K. 罗琳 / 苏农 / 人民文学出版社 / 2000-9 / 19.50元
20,百年孤独,9.2,83896,[哥伦比亚] 加西亚·马尔克斯 / 范晔 / 南海出版公司 / 2011-6 / 39.50元
21,飘（上下）,9.3,71577,[美国] 玛格丽特·米切尔 / 李美华 / 译林出版社 / 2000-9 / 40.00元
22,杜拉拉升职记,7.8,87986,李可 / 陕西师范大学出版社 / 2007-9 / 26.00元
23,三重门,7.4,91916,韩寒 / 作家出版社 / 2000-5 / 16.00
24,送你一颗子弹,8.6,80062,刘瑜 / 上海三联书店 / 2010-1 / 25.00元
25,倾城之恋,8.5,80985,张爱玲 / 花城出版社 / 1997-3-1 / 11.00
26,傲慢与偏见,8.8,78208,[英] 奥斯丁 / 张玲 / 人民文学出版社 / 1993-7 / 13.00元
27,天才在左 疯子在右,8.3,81108,高铭 / 武汉大学出版社 / 2010-2 / 29.80元
28,明朝那些事儿（壹）,8.8,75469,当年明月 / 中国友谊出版公司 / 2006-9 / 24.80
