rank,title,ratings,rating_num,meta
1,肖申克的救赎,9.6,720141,导演: 弗兰克·德拉邦特 Frank Darabont   主演: 蒂姆·罗宾斯 Tim Robbins /.../1994 / 美国 / 犯罪 剧情
2,这个杀手不太冷,9.4,691633,导演: 吕克·贝松 Luc Besson   主演: 让·雷诺 Jean Reno / 娜塔丽·波特曼 .../1994 / 法国 / 剧情 动作 犯罪
3,霸王别姬,9.5,503003,导演: 陈凯歌 Kaige Chen   主演: 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha.../1993 / 中国大陆 香港 / 剧情 爱情 同性
4,阿甘正传,9.4,603380,导演: Robert Zemeckis   主演: Tom Hanks / Robin Wright Penn / Gary Sinise/1994 / 美国 / 剧情 爱情
5,美丽人生,9.5,344195,导演: 罗伯托·贝尼尼 Roberto Benigni   主演: 罗伯托·贝尼尼 Roberto Beni.../1997 / 意大利 / 剧情 喜剧 爱情
6,千与千寻,9.2,551162,导演: 宫崎骏 Hayao Miyazaki   主演: 柊瑠美 Rumi Hîragi / 入野自由 Miy.../2001 / 日本 / 剧情 动画 奇幻
7,辛德勒的名单,9.4,319657,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 连姆·尼森 Liam Neeson.../1993 / 美国 / 剧情 历史 战争
8,海上钢琴师,9.2,518908,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 蒂姆·罗斯 Tim Roth / .../1998 / 意大利 / 剧情 音乐
9,机器人总动员,9.3,436897,导演: 安德鲁·斯坦顿 Andrew Stanton   主演: 本·贝尔特 Ben Burtt / 艾丽.../2008 / 美国 / 喜剧 爱情 科幻 动画 冒险
10,盗梦空间,9.2,664453,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 莱昂纳多·迪卡普里奥 Le.../2010 / 美国 英国 / 剧情 动作 科幻 悬疑 冒险
11,泰坦尼克号,9.1,554782,导演: James Cameron   主演: Leonardo DiCaprio / Kate Winslet / Billy Zane/1997 / 美国 / 剧情 爱情 灾难
12,三傻大闹宝莱坞,9.1,570238,导演: 拉库马·希拉尼 Rajkumar Hirani   主演: 阿米尔·汗 Aamir Khan / 卡.../2009 / 印度 / 剧情 喜剧 爱情 歌舞
13,放牛班的春天,9.2,384857,导演: 克里斯托夫·巴拉蒂 Christophe Barratier   主演: 杰拉尔·朱诺 Géra.../2004 / 法国 瑞士 德国 / 剧情 音乐
14,忠犬八公的故事,9.2,368451,导演: 莱塞·霍尔斯道姆 Lasse Hallström   主演: 理查·基尔 Richard Ger.../2009 / 美国 英国 / 剧情
15,大话西游之大圣娶亲,9.1,381472,导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng.../1995 / 香港 中国大陆 / 动作 冒险 喜剧 奇幻 爱情
16,龙猫,9.1,358359,导演: 宫崎骏 Hayao Miyazaki   主演: 日高法子 Noriko Hidaka / 坂本千夏 Ch.../1988 / 日本 / 动画 奇幻
17,教父,9.2,293731,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 马龙·白兰度 M.../1972 / 美国 / 剧情 犯罪
18,乱世佳人,9.2,233826,导演: Victor Fleming / George Cukor   主演: 克拉克·盖博 Clark Gable / .../1939 / 美国 / 剧情 爱情 战争
19,天堂电影院,9.1,269447,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 安东娜拉·塔莉 Antonel.../1988 / 意大利 法国 / 剧情 爱情
20,当幸福来敲门,8.9,465744,导演: 加布里尔·穆奇诺 Gabriele Muccino   主演: 威尔·史密斯 Will Smith .../2006 / 美国 / 剧情 传记 家庭
21,楚门的世界,9.0,370817,导演: 彼得·威尔 Peter Weir   主演: 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau.../1998 / 美国 / 剧情
22,搏击俱乐部,9.0,364043,导演: 大卫·芬奇 David Fincher   主演: 爱德华·诺顿 Edward Norton / 布拉.../1999 / 美国 德国 / 剧情 动作 悬疑 惊悚
23,触不可及,9.1,308544,导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano   主.../2011 / 法国 / 剧情 喜剧
24,指环王3：王者无敌,9.1,249089,导演: 彼得·杰克逊 Peter Jackson   主演: 维果·莫腾森 Viggo Mortensen / .../2003 / 美国 新西兰 / 剧情 动作 奇幻 冒险
25,十二怒汉,9.3,142274,导演: Sidney Lumet   主演: 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti.../1957 / 美国 / 剧情
26,罗马假日,8.9,332902,导演: 威廉·惠勒 William Wyler   主演: 奥黛丽·赫本 Audrey Hepburn / 格.../1953 / 美国 / 喜剧 剧情 爱情
27,怦然心动,8.9,450609,导演: 罗伯·莱纳 Rob Reiner   主演: 玛德琳·卡罗尔 Madeline Carroll / 卡.../2010 / 美国 / 剧情 喜剧 爱情
28,天空之城,9.0,282249,导演: 宫崎骏 Hayao Miyazaki   主演: 田中真弓 Mayumi Tanaka / 鹫尾真知子 .../1986 / 日本 / 动画 奇幻 冒险
29,两杆大烟枪,9.0,239714,导演: Guy Ritchie   主演: Jason Flemyng / Dexter Fletcher / Nick Moran/1998 / 英国 / 剧情 喜剧 犯罪
30,无间道,8.9,331812,导演: 刘伟强 / 麦兆辉   主演: 刘德华 / 梁朝伟 / 黄秋生/2002 / 香港 / 犯罪 悬疑 惊悚
31,飞屋环游记,8.9,438843,导演: 彼特·道格特 Pete Docter   主演: 爱德华·阿斯纳 Edward Asner / 克.../2009 / 美国 / 剧情 喜剧 动画 奇幻 冒险
32,大话西游之月光宝盒,8.9,331069,导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng.../1995 / 香港 中国大陆 / 喜剧 动作 爱情 奇幻 冒险 古装
33,飞越疯人院,9.0,240764,导演: 米洛斯·福尔曼 Miloš Forman   主演: 杰克·尼科尔森 Jack Nichols.../1975 / 美国 / 剧情
34,海豚湾,9.3,163163,导演: Louie Psihoyos   主演: John Chisholm / Mandy-Rae Cruikshank / Char.../2009 / 美国 / 纪录片
35,少年派的奇幻漂流,9.0,506724,导演: 李安 Ang Lee   主演: 苏拉·沙玛 Suraj Sharma / 拉菲·斯波 Rafe Spa.../2012 / 美国 台湾 英国 加拿大 / 剧情 奇幻 冒险
36,鬼子来了,9.1,188584,导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /.../2000 / 中国大陆 / 剧情 战争
37,蝙蝠侠：黑暗骑士,9.0,267696,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ.../2008 / 美国 英国 / 剧情 动作 科幻 犯罪 惊悚
38,窃听风暴,9.1,185136,导演: 弗洛里安·亨克尔·冯·多纳斯马 Florian Henckel von Donnersmarck   .../2006 / 德国 / 剧情 悬疑
39,熔炉,9.1,177296,导演: 黄东赫 Dong-hyuk Hwang   主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jeong .../2011 / 韩国 / 剧情
40,V字仇杀队,8.8,350339,导演: 詹姆斯·麦克特格 James McTeigue   主演: 娜塔丽·波曼 Natalie Portm.../2005 / 美国 英国 德国 / 剧情 动作 科幻 惊悚
41,活着,9.0,214096,导演: 张艺谋 Yimou Zhang   主演: 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang/1994 / 中国大陆 香港 / 剧情 家庭
42,闻香识女人,8.9,273225,导演: 马丁·布莱斯 Martin Brest   主演: 阿尔·帕西诺 Al Pacino / 克里斯.../1992 / 美国 / 剧情
43,天使爱美丽,8.7,426130,导演: Jean-Pierre Jeunet   主演: 奥黛丽·塔图 Audrey Tautou / 马修·卡索.../2001 / 法国 德国 / 喜剧 爱情
44,美丽心灵,8.9,264031,导演: 朗·霍华德 Ron Howard   主演: 罗素·克劳 Russell Crowe / 詹妮弗·.../2001 / 美国 / 传记 剧情
45,指环王2：双塔奇兵,8.9,236982,导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩.../2002 / 美国 新西兰 / 剧情 动作 奇幻 冒险
46,指环王1：魔戒再现,8.9,264143,导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩.../2001 / 新西兰 美国 / 剧情 动作 奇幻 冒险
47,教父2,9.1,158621,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 阿尔·帕西诺 A.../1974 / 美国 / 剧情 犯罪
48,哈尔的移动城堡,8.8,291267,导演: 宫崎骏 Hayao Miyazaki   主演: 倍赏千惠子 Chieko Baishô / 木村拓.../2004 / 日本 / 爱情 动画 奇幻 冒险
49,七宗罪,8.7,382316,导演: 大卫·芬奇 David Fincher   主演: 摩根·弗里曼 Morgan Freeman / 布.../1995 / 美国 / 剧情 犯罪 悬疑 惊悚
50,情书,8.8,312173,导演: 岩井俊二 Shunji Iwai   主演: 中山美穗 Miho Nakayama / 酒井美纪 Mik.../1995 / 日本 / 剧情 爱情
51,死亡诗社,8.9,231921,导演: 彼得·威尔 Peter Weir   主演: 罗宾·威廉姆斯 Robin Williams / 罗伯.../1989 / 美国 / 剧情
52,星际穿越,9.1,402305,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 马修·麦康纳 Matthew Mc.../2014 / 美国 英国 加拿大 / 剧情 科幻 悬疑 冒险 家庭
53,美国往事,9.1,148118,导演: Sergio Leone   主演: 罗伯特·德尼罗 Robert De Niro / 詹姆斯·伍兹 .../1984 / 意大利 美国 / 犯罪 剧情
54,勇敢的心,8.8,261311,导演: 梅尔·吉布森 Mel Gibson   主演: 梅尔·吉布森 Mel Gibson / 苏菲·玛.../1995 / 美国 / 动作 传记 剧情 历史 战争
55,剪刀手爱德华,8.7,421963,导演: Tim Burton   主演: 约翰尼·德普 Johnny Depp / 薇诺娜·瑞德 Winona .../1990 / 美国 / 剧情 奇幻 爱情
56,钢琴家,9.0,173735,导演: 罗曼·波兰斯基 Roman Polanski   主演: 艾德里安·布洛迪 Adrien Brod.../2002 / 法国 德国 英国 波兰 / 剧情 传记 历史 战争
57,致命魔术,8.8,291149,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ.../2006 / 美国 英国 / 剧情 悬疑 惊悚
58,狮子王,8.8,242276,导演: Roger Allers / 罗伯·明可夫 Rob Minkoff   主演: 乔纳森·泰勒·托马.../1994 / 美国 / 剧情 动画 冒险 歌舞 家庭
59,被嫌弃的松子的一生,8.9,219736,导演: 中岛哲也 Tetsuya Nakashima   主演: 中谷美纪 Miki Nakatani / 瑛太 E.../2006 / 日本 / 剧情 歌舞
60,音乐之声,8.9,200864,导演: Robert Wise   主演: 朱丽·安德鲁斯 Julie Andrews / 克里斯托弗·普.../1965 / 美国 / 剧情 爱情 歌舞 家庭 传记
61,小鞋子,9.1,112379,导演: 马基德·马基迪 Majid Majidi   主演: Amir Farrokh Hashemian / 默罕.../1999 / 伊朗 / 剧情 家庭 儿童
62,低俗小说,8.7,280473,导演: 昆汀·塔伦蒂诺 Quentin Tarantino   主演: 约翰·特拉沃尔塔 John Tra.../1994 / 美国 / 剧情 犯罪
63,入殓师,8.8,281651,导演: 泷田洋二郎 Yôjirô Takita   主演: 本木雅弘 Masahiro Motoki / .../2008 / 日本 / 剧情
64,蝴蝶效应,8.7,331724,导演: 埃里克.布雷斯 Eric Bress / J. Mackye Gruber   主演: 阿什顿·库彻 A.../2004 / 美国 加拿大 / 剧情 悬疑 科幻 惊悚
65,玛丽和马克思,8.9,210494,导演: Adam Elliot   主演: 托妮·科莱特 Toni Collette / 菲利普·塞默·霍.../2009 / 澳大利亚 / 剧情 爱情 动画
66,沉默的羔羊,8.7,298320,导演: Jonathan Demme   主演: Jodie Foster / Anthony Hopkins / Scott Glenn/1991 / 美国 / 剧情 犯罪 惊悚
67,本杰明·巴顿奇事,8.7,344107,导演: 大卫·芬奇 David Fincher   主演: 布拉德·皮特 Brad Pitt / 凯特·布.../2008 / 美国 / 剧情 爱情 奇幻
68,黑客帝国,8.7,237474,导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski   主.../1999 / 美国 澳大利亚 / 动作 科幻
